Date,Open,High,Low,Close,Adj Close,Volume
2016-11-22,1.249531,1.251251,1.240541,1.249375,1.249375,0
2016-11-23,1.242390,1.243163,1.236400,1.242390,1.242390,0
2016-11-24,1.242854,1.249844,1.240695,1.243317,1.243317,0
2016-11-25,1.245485,1.247349,1.241928,1.245283,1.245283,0
2016-11-28,1.248284,1.253133,1.238697,1.248128,1.248128,0
2016-11-29,1.241003,1.252819,1.239004,1.241157,1.241157,0
2016-11-30,1.249063,1.251596,1.242236,1.249219,1.249219,0
2016-12-01,1.251517,1.269680,1.251095,1.251721,1.251721,0
2016-12-02,1.258970,1.267700,1.257229,1.258970,1.258970,0
2016-12-05,1.266945,1.273885,1.266143,1.266785,1.266785,0
2016-12-06,1.272864,1.277302,1.270971,1.272848,1.272848,0
2016-12-07,1.267267,1.267588,1.257387,1.267106,1.267106,0
2016-12-08,1.262929,1.270810,1.255178,1.262786,1.262786,0
2016-12-09,1.258368,1.262148,1.255808,1.258495,1.258495,0
2016-12-12,1.259287,1.267267,1.256834,1.259763,1.259763,0
2016-12-13,1.267748,1.272750,1.266304,1.267588,1.267588,0
2016-12-14,1.266304,1.271504,1.263903,1.266304,1.266304,0
2016-12-15,1.253824,1.256755,1.240233,1.253824,1.253824,0
2016-12-16,1.242390,1.246417,1.238544,1.242390,1.242390,0
2016-12-19,1.248907,1.250469,1.235727,1.248907,1.248907,0
2016-12-20,1.238850,1.241003,1.231679,1.239004,1.239004,0
2016-12-21,1.236705,1.239311,1.232742,1.236552,1.236552,0
2016-12-22,1.235330,1.237946,1.229710,1.235483,1.235483,0
2016-12-23,1.228486,1.229861,1.223242,1.228501,1.228501,0
2016-12-26,1.228954,1.234416,1.226994,1.228954,1.228954,0
2016-12-27,1.227747,1.228803,1.223990,1.227596,1.227596,0
2016-12-28,1.227596,1.229861,1.220256,1.227596,1.227596,0
2016-12-29,1.222494,1.227596,1.222345,1.222494,1.222494,0
2016-12-30,1.228501,1.238697,1.226994,1.228803,1.228803,0
2017-01-02,1.234903,1.235941,1.228350,1.234903,1.234903,0
2017-01-03,1.228199,1.231072,1.220405,1.228199,1.228199,0
2017-01-04,1.224605,1.229710,1.222345,1.224560,1.224560,0
2017-01-05,1.232802,1.241773,1.227144,1.232681,1.232681,0
2017-01-06,1.242390,1.242390,1.230315,1.242545,1.242545,0
2017-01-09,1.225971,1.227295,1.212709,1.226091,1.226091,0
2017-01-10,1.217137,1.218472,1.211240,1.217345,1.217345,0
2017-01-11,1.217582,1.219661,1.204384,1.217434,1.217434,0
2017-01-12,1.221150,1.231679,1.216989,1.221449,1.221449,0
2017-01-13,1.216693,1.222643,1.212415,1.216545,1.216545,0
2017-01-16,1.203746,1.208751,1.199515,1.203935,1.203935,0
2017-01-17,1.204094,1.239526,1.204094,1.204021,1.204021,0
2017-01-18,1.238943,1.239987,1.227054,1.238804,1.238804,0
2017-01-19,1.226242,1.234111,1.225430,1.225971,1.225971,0
2017-01-20,1.234050,1.237210,1.226287,1.233837,1.233837,0
2017-01-23,1.238513,1.249547,1.238221,1.238697,1.238697,0
2017-01-24,1.251486,1.254548,1.242205,1.251721,1.251721,0
2017-01-25,1.253164,1.261623,1.249344,1.253306,1.253306,0
2017-01-26,1.263903,1.267427,1.256187,1.263408,1.263408,0
2017-01-27,1.259604,1.260875,1.252207,1.259541,1.259541,0
2017-01-30,1.259382,1.260017,1.249375,1.259192,1.259192,0
2017-01-31,1.250156,1.258748,1.241588,1.250000,1.250000,0
2017-02-01,1.258701,1.265999,1.254752,1.258970,1.258970,0
2017-02-02,1.266288,1.270567,1.253133,1.266143,1.266143,0
2017-02-03,1.252035,1.254076,1.246106,1.252003,1.252003,0
2017-02-06,1.248206,1.250000,1.242885,1.248424,1.248424,0
2017-02-07,1.246961,1.248736,1.234842,1.246836,1.246836,0
2017-02-08,1.249656,1.254485,1.248097,1.249625,1.249625,0
2017-02-09,1.252599,1.258273,1.249828,1.252803,1.252803,0
2017-02-10,1.249594,1.252097,1.244214,1.249812,1.249812,0
2017-02-13,1.248315,1.254076,1.248315,1.248455,1.248455,0
2017-02-14,1.252332,1.254752,1.245066,1.252301,1.252301,0
2017-02-15,1.246914,1.247194,1.238497,1.247038,1.247038,0
2017-02-16,1.246588,1.252050,1.245702,1.246976,1.246976,0
2017-02-17,1.248175,1.251157,1.239096,1.248923,1.248923,0
2017-02-20,1.243054,1.248268,1.241003,1.243394,1.243394,0
2017-02-21,1.247380,1.248128,1.240295,1.247334,1.247334,0
2017-02-22,1.248658,1.250782,1.242807,1.248704,1.248704,0
2017-02-23,1.245439,1.255414,1.242977,1.245377,1.245377,0
2017-02-24,1.255493,1.257071,1.248486,1.255619,1.255619,0
2017-02-27,1.240187,1.247272,1.238927,1.239956,1.239956,0
2017-02-28,1.243735,1.247147,1.240849,1.243936,1.243936,0
2017-03-01,1.237946,1.240249,1.228471,1.237808,1.237808,0
2017-03-02,1.227114,1.230557,1.226076,1.227220,1.227220,0
2017-03-03,1.227446,1.228350,1.221687,1.227476,1.227476,0
2017-03-06,1.229241,1.229710,1.224605,1.230012,1.230012,0
2017-03-07,1.223990,1.225040,1.217093,1.224290,1.224290,0
2017-03-08,1.220361,1.221598,1.214005,1.220450,1.220450,0
2017-03-09,1.217448,1.219512,1.214123,1.217730,1.217730,0
2017-03-10,1.215953,1.218695,1.214093,1.215732,1.215732,0
2017-03-13,1.216989,1.225085,1.215865,1.217137,1.217137,0
2017-03-14,1.221449,1.221896,1.211328,1.220599,1.220599,0
2017-03-15,1.215865,1.224140,1.215554,1.215746,1.215746,0
2017-03-16,1.228350,1.237103,1.224425,1.228426,1.228426,0
2017-03-17,1.235330,1.239849,1.232544,1.235117,1.235117,0
2017-03-20,1.237930,1.243626,1.236614,1.238451,1.238451,0
2017-03-21,1.236629,1.248471,1.234354,1.236705,1.236705,0
2017-03-22,1.248299,1.250297,1.243054,1.248206,1.248206,0
2017-03-23,1.247100,1.252803,1.246696,1.247505,1.247505,0
2017-03-24,1.251878,1.251878,1.247100,1.251878,1.251878,0
2017-03-27,1.251267,1.261575,1.251095,1.251455,1.251455,0
2017-03-28,1.255982,1.259668,1.250485,1.255792,1.255792,0
2017-03-29,1.242390,1.247163,1.238145,1.242143,1.242143,0
